,Latitude,Temperature,City,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,42.6,83.88,Albany,-73.97,86.0,43,33,9.1,US,1595352623
1,-54.8,35.6,Ushuaia,-68.3,35.6,93,60,2.24,AR,1595352831
2,63.92,56.91,Sangar,127.47,56.91,95,100,15.84,RU,1595352971
3,-34.48,68.38,Rocha,-54.33,68.38,87,100,4.05,UY,1595353134
4,-23.12,66.13,Rikitea,-134.97,66.13,60,46,17.94,PF,1595352861
5,57.79,64.4,Saint Paul Harbor,-152.41,64.4,63,1,4.7,US,1595352770
6,-43.32,48.6,Woodend,172.67,48.99,81,63,17.22,NZ,1595353135
7,-9.8,79.34,Atuona,-139.03,79.34,75,26,17.27,PF,1595352875
8,31.67,95.0,Turaif,38.66,95.0,21,0,13.87,SA,1595353135
9,-24.79,71.89,Castro,-50.01,71.89,53,0,7.18,BR,1595352841
10,4.87,76.91,Esim,-2.24,76.91,87,65,9.46,GH,1595352897
11,-34.53,59.0,Bredasdorp,20.04,59.0,87,0,9.17,ZA,1595352913
12,-21.36,57.74,Saint-Philippe,55.77,66.2,77,75,3.36,RE,1595353136
13,-53.15,30.09,Punta Arenas,-70.92,30.2,92,0,5.82,CL,1595352857
14,42.78,80.01,Muros,-9.06,80.01,60,0,20.0,ES,1595353136
15,38.81,86.49,Edwardsville,-89.95,88.0,79,75,4.7,US,1595353136
16,22.08,76.1,Kapaa,-159.32,78.01,78,20,14.99,US,1595352846
17,42.1,74.66,Jamestown,-79.24,75.99,73,40,4.7,US,1595353136
18,-22.97,83.14,Arraial do Cabo,-42.03,84.2,61,0,11.41,BR,1595352839
19,-0.6,84.42,Hithadhoo,73.08,84.42,76,99,11.52,MV,1595352860
20,10.39,72.05,Lere,8.57,72.05,86,17,2.24,NG,1595353137
21,-33.65,52.57,Busselton,115.33,54.0,72,15,10.27,AU,1595352870
22,18.9,101.62,Araouane,-3.53,101.62,26,25,20.02,ML,1595352918
23,-42.78,41.76,New Norfolk,147.06,46.0,84,93,4.0,AU,1595352859
24,-21.2,57.2,Vaini,-175.2,57.2,100,20,2.46,TO,1595352871
25,69.31,51.8,Andenes,16.12,51.8,93,90,11.41,NO,1595353138
26,-17.71,76.95,Caravelas,-39.25,76.95,65,9,7.9,BR,1595352895
27,-46.19,39.0,Mataura,168.86,39.0,83,99,3.0,NZ,1595353138
28,14.9,78.19,São Filipe,-24.5,78.19,75,39,6.13,CV,1595352841
29,15.85,87.8,Puerto Escondido,-97.07,87.8,62,90,8.05,MX,1595352873
30,53.13,50.54,Tokur,132.9,50.54,96,37,2.82,RU,1595353141
31,-15.77,57.2,Kununurra,128.73,57.2,31,35,9.75,AU,1595352857
32,69.45,41.0,Tuktoyaktuk,-133.04,41.0,80,90,6.93,CA,1595353142
33,-3.8,77.2,Bengkulu,102.27,77.2,86,95,5.14,ID,1595352871
34,19.22,93.2,San Patricio,-104.7,93.2,71,5,9.17,MX,1595352874
35,54.94,59.0,Kol'tsovo,83.18,59.0,87,75,4.47,RU,1595353142
36,35.87,78.37,Dumas,-101.97,82.99,69,1,5.82,US,1595352904
37,-11.3,56.17,Tingi,35.03,56.17,80,36,2.57,TZ,1595353142
38,-33.93,57.9,Cape Town,18.42,59.0,93,0,2.24,ZA,1595352572
39,41.37,86.04,Bethel,-73.41,88.0,51,20,8.05,US,1595352876
40,70.63,67.23,Chokurdakh,147.92,67.23,51,98,9.91,RU,1595352865
41,6.88,82.2,Kudat,116.85,82.4,83,20,4.7,MY,1595353143
42,-21.34,58.64,Saint-Pierre,55.48,66.2,77,75,3.36,RE,1595353143
43,-5.81,95.65,Manicoré,-61.3,95.65,30,15,3.74,BR,1595353143
44,55.17,69.8,Grande Prairie,-118.8,69.8,64,75,10.29,CA,1595353143
45,67.45,67.01,Srednekolymsk,153.68,67.01,41,11,14.07,RU,1595352959
46,53.25,64.33,Province of Groningen,6.75,66.0,63,20,12.75,NL,1595353144
47,-33.7,70.2,Chui,-53.46,70.2,82,100,5.26,UY,1595353145
48,35.49,80.6,Vrises,23.89,80.6,54,0,13.87,GR,1595353145
49,-42.88,42.46,Hobart,147.33,46.0,75,78,5.82,AU,1595352723
50,1.45,75.2,Bitung,125.18,75.2,94,20,1.12,ID,1595353145
51,71.92,48.51,Saskylakh,114.08,48.51,78,100,12.3,RU,1595352861
52,-38.0,51.44,Mar del Plata,-57.56,52.0,93,90,16.11,AR,1595352860
53,47.38,69.8,Cap-aux-Meules,-61.86,69.8,73,20,12.75,CA,1595353146
54,50.68,73.4,Severnyy,36.55,73.4,53,50,6.71,RU,1595353146
55,3.07,79.77,Butaritari,172.79,79.77,78,99,10.47,KI,1595352856
56,-37.62,53.58,Lebu,-73.65,53.58,75,100,13.18,CL,1595352890
57,72.79,49.57,Upernavik,-56.15,49.57,55,100,1.74,GL,1595352882
58,68.75,64.4,Cherskiy,161.3,64.4,45,34,7.87,RU,1595352844
59,48.8,69.31,La Sarre,-79.2,69.31,55,59,7.74,CA,1595353147
60,-22.12,70.0,Henties Bay,14.28,70.0,46,20,1.99,NA,1595352954
61,34.8,83.89,Meadow Lake,-106.54,84.99,25,1,3.36,US,1595353147
62,21.5,80.55,Burla,83.87,80.55,84,100,5.41,IN,1595353147
63,-35.33,54.88,Constitución,-72.42,54.88,76,97,9.4,CL,1595353147
64,-4.38,85.93,Benjamin Constant,-70.03,87.8,70,40,4.7,BR,1595353147
65,41.26,65.77,Huanren,125.37,65.77,89,100,1.52,CN,1595353148
66,-33.59,64.96,Port Alfred,26.89,64.96,50,0,10.76,ZA,1595352867
67,-6.6,77.83,Finschhafen,147.87,77.83,81,68,7.96,PG,1595353148
68,-32.25,53.82,Kwinana,115.77,55.99,93,90,10.11,AU,1595353148
69,46.42,87.8,Saint-François,3.91,87.8,35,39,3.36,FR,1595353007
70,37.57,64.72,Hillsborough,-122.38,70.0,68,40,9.17,US,1595353003
71,34.69,79.5,Nara,135.8,82.0,40,27,1.25,JP,1595353153
72,56.03,63.82,Kristianstad,14.15,64.4,52,10,13.87,SE,1595353153
73,-7.57,72.05,Kaniama,24.18,72.05,31,2,3.2,CD,1595353153
74,65.28,51.8,Norman Wells,-126.83,51.8,93,90,13.87,CA,1595352951
75,59.7,69.39,Nikolskoye,30.79,71.01,72,40,6.71,RU,1595352856
76,-10.07,66.96,Huarmey,-78.15,66.96,67,53,10.74,PE,1595352918
77,35.0,71.67,Gōtsuchō,132.22,71.67,92,79,4.9,JP,1595353154
78,19.73,67.69,Hilo,-155.09,73.99,68,90,5.82,US,1595353154
79,-38.27,49.35,Codrington,141.97,49.35,76,95,8.34,AU,1595352878
80,13.22,84.2,Kattivākkam,80.32,84.2,83,20,6.93,IN,1595353154
81,62.32,65.79,Varkaus,27.87,66.0,82,98,3.36,FI,1595353154
82,32.67,71.02,Ponta do Sol,-17.1,73.0,64,16,1.63,PT,1595352881
83,38.8,83.32,Colares,-9.45,87.01,45,40,16.11,PT,1595352885
84,-33.02,64.47,East London,27.91,64.47,64,0,8.08,ZA,1595352915
85,63.75,50.0,Iqaluit,-68.51,50.0,81,90,23.04,CA,1595352770
86,71.97,52.18,Khatanga,102.5,52.18,70,82,10.09,RU,1595352866
87,20.93,80.6,Nouadhibou,-17.03,80.6,61,0,13.87,MR,1595352874
88,10.06,88.47,Machiques,-72.55,88.47,63,100,1.9,VE,1595353155
89,-6.88,77.14,Labuhan,112.21,77.14,87,43,7.31,ID,1595352969
90,40.43,77.0,Yangi Marg`ilon,71.72,77.0,38,20,4.7,UZ,1595352939
